"cbsa_code","cbsatitle","metrosize","posts_jan20","posts_feb20","posts_mar20","posts_apr20","posts_may20","posts_jun20","posts_jul20","posts_aug20","posts_sep20","posts_oct20","posts_nov20","posts_dec20","posts_jan21","posts_feb21","posts_mar21","posts_apr21","chg_imp","chg_traj","rank_imp","rank_traj","szrank_imp","szrank_traj"
"33660","Mobile, AL","Midsized",13801,11680,11343,9831,10238,9567,10386,11623,12830,13656,14478,15920,14530,14789,16621,16536,41.5753424657534,-0.511401239395945,40,124,18,50
"33700","Modesto, CA","Large",13376,11710,12058,10324,10242,9957,10298,11139,11243,11707,11040,11795,10966,10877,11756,12156,3.80871050384287,3.40251786321878,174,61,53,21
"33860","Montgomery, AL","Midsized",15785,13649,13013,10682,11218,11124,11642,12638,13565,14818,16069,17630,15428,15671,17664,17379,27.3280093779764,-1.61345108695652,88,136,37,55
"34820","Myrtle Beach-Conway-North Myrtle Beach, SC-NC","Midsized",13033,12435,13212,11597,12484,11669,12629,13612,13135,14784,14270,15227,14192,15023,14931,15569,25.2030558906313,4.27298908311567,99,48,43,24
"34940","Naples-Marco Island, FL","Midsized",8101,7346,7848,6182,6744,6503,7034,7557,7020,7117,7064,7759,7379,7901,8058,8193,11.5300843996733,1.67535368577811,143,88,61,36
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN","Very Large",101858,88521,85611,69928,70291,68253,72902,89275,88336,95281,92681,100947,99888,99153,113477,104203,17.715570316648,-8.17258122791403,117,185,30,52
"35300","New Haven-Milford, CT","Large",28133,24467,25289,21012,22141,22205,23112,27712,26902,26293,26838,30012,27405,27863,32124,31752,29.7747987084645,-1.15801270078446,77,132,28,39
"35380","New Orleans-Metairie, LA","Very Large",50575,44142,43201,34185,33112,32790,33294,35794,37836,40094,40672,42021,40133,41561,47593,47296,7.14512255901409,-0.624041350618788,166,126,47,38
"35620","New York-Newark-Jersey City, NY-NJ-PA","Very Large",668321,568805,565526,463346,477650,445265,468683,500817,490961,526193,521033,567320,533043,559414,712477,736154,29.4211548773305,3.32319499436473,79,63,18,12
"35840","North Port-Sarasota-Bradenton, FL","Large",20185,17585,18721,15222,15763,15814,17228,18488,18375,19895,19139,21036,21342,20628,22674,23476,33.5001421666193,3.53709094116609,64,59,23,20
"35980","Norwich-New London, CT","Midsized",10100,9236,9890,7973,8331,7225,7633,7927,8083,8703,9199,9645,8504,8579,9785,10586,14.6167171935903,8.18599897802759,129,19,56,10
"36100","Ocala, FL","Midsized",8551,7575,8100,6814,6548,6376,6931,7276,7857,8932,8695,9233,9268,9091,10463,9522,25.7029702970297,-8.99359648284431,93,187,40,79
"36260","Ogden-Clearfield, UT","Large",19385,16616,17886,15647,15931,15273,16241,18419,18436,20709,19346,22675,20471,20597,26257,27859,67.6636976408281,6.10123014815097,3,28,3,9
"36420","Oklahoma City, OK","Very Large",55944,48824,46970,39402,39596,38533,41788,46846,46954,49836,49224,52428,53499,55505,63873,61984,26.9539570702933,-2.95743115244313,90,150,22,49
"36500","Olympia-Lacey-Tumwater, WA","Midsized",10371,9233,10115,8796,8635,7546,8384,9014,8836,10201,9465,10969,10613,11032,14503,15319,65.9157370302177,5.62642211956147,4,34,1,20
"36540","Omaha-Council Bluffs, NE-IA","Large",50560,42804,42119,32860,33049,33341,34893,48886,52315,55950,53095,66400,66021,64139,79942,61742,44.243528642183,-22.7665057166446,30,192,12,57
"36740","Orlando-Kissimmee-Sanford, FL","Very Large",93925,79813,76797,57776,57045,57651,61258,82557,82629,86886,84602,88297,84879,88353,100547,103155,29.2458622028993,2.59381184918496,80,73,19,15
"37100","Oxnard-Thousand Oaks-Ventura, CA","Large",25717,21966,22416,17823,17243,16641,17565,19251,20360,22374,21373,22205,22039,21892,22670,22996,4.68906491851043,1.43802382002647,172,94,52,31
"37340","Palm Bay-Melbourne-Titusville, FL","Large",17292,15332,16398,14228,14730,13146,13385,14574,13882,14358,14179,14569,13883,14550,16589,16786,9.48343334202974,1.18753390801133,156,98,47,32
"37860","Pensacola-Ferry Pass-Brent, FL","Large",11736,10602,11225,9041,9689,8876,9939,10958,10889,12051,11866,12956,12199,11982,13739,14159,33.5502735332956,3.05699104738336,63,67,22,22
"37900","Peoria, IL","Midsized",17759,15481,15971,14010,14437,15192,15706,16525,15904,17552,18043,18650,16714,17349,18523,17286,11.6594535236742,-6.67818387950116,141,177,60,73
"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Very Large",254697,216770,212794,187081,192371,193605,210273,241259,234915,248981,248868,268702,246610,258834,293130,290162,33.857083544771,-1.01252004230205,60,131,12,41
"38060","Phoenix-Mesa-Chandler, AZ","Very Large",181983,156938,146012,120761,122083,127774,136093,175418,171077,182540,178229,177514,177654,184395,208048,211844,34.9857905669755,1.82457894332077,56,85,11,23
"38300","Pittsburgh, PA","Very Large",109485,91969,90625,75275,80070,85286,90395,110239,108400,111331,112671,121443,108522,112713,118751,119732,30.1873457360632,0.826098306540577,75,106,16,29
